user,tanggal,bahasa,isi,polarity,sentiment
1494093565818986497,2022-03-26 03:35:54+00:00,en,If my mom embarrassed me like the one in turning red I’d fight her forreal,0.0,netral
1312859047931129856,2022-03-26 03:35:26+00:00,en,i want to be that one emo chick from turning red,0.0,netral
1354193051330068480,2022-03-26 03:35:20+00:00,en,ok i just think madame yu and jiang cheng Turning Red au,0.25,positif
1232931837569269760,2022-03-26 03:35:15+00:00,en,the song from turning red is stuck in my head 😣,0.0,netral
1303160196995391488,2022-03-26 03:35:12+00:00,en,"Turning Red is a fictional story, you can tell because it’s set in “Canada” which doesn’t exist on any real world map",0.06666666666666667,positif
1362075820701835265,2022-03-26 03:35:11+00:00,en,"Is this 4Town's Taeyoung on Turning Red inspired by NCT's Taeyong? They do look alike, don't they....?",0.0,netral
19083596,2022-03-26 03:34:00+00:00,en,"I love action films, sci-fi, and horror movies.
I'm here to tell you that Turning Red if fucking adorable. It's sweet, funny, heartfelt, and the animation is amazing. 
It might not be your bag, but if you're getting mad about this film, you've got serious problems.",0.1341666666666667,positif
1126613775732240384,2022-03-26 03:33:47+00:00,en,MY FRIENDS DIDNT LIKE TURNING RED I NO LONGER ASSOCIATE WITH THEM,0.0,netral
4290780319,2022-03-26 03:33:40+00:00,en,@laurrypants MY BROTHER IS OBSESSED WITH TURNING RED AND WHAT SHOCKED ME MOST WAS HEARING 4TOWN PLAYING IN THE TRUCK 😂,-0.39999999999999997,negatif
3675919932,2022-03-26 03:33:33+00:00,en,@tsukisonlinelol The flags would be indeed turning red(was watching that tonight lol),0.8,positif
765153643,2022-03-26 03:33:03+00:00,en,watched turning red w braden last night and the music is so good for no reason - he’s singing 4*Town in the car,0.2333333333333333,positif
716668658,2022-03-26 03:32:50+00:00,en,Turning Red was so good!!!!!!!!!!!,0.35,positif
21876513,2022-03-26 03:32:42+00:00,en,My Turning Red plush with a free pad came in today!!! 🤗☺😍 https://t.co/9ImIo9kM7E,0.2,positif
1367085579226279937,2022-03-26 03:32:36+00:00,en,to quase reassistindo turning red,0.0,netral
817125086280830976,2022-03-26 03:32:30+00:00,en,Turning Red and Sister Act 2 are the same point made from different decades and in this essay I will,0.0,netral
815025824067788800,2022-03-26 03:32:19+00:00,en,"@TShane626 I was excited for the movie “Turning Red” but I already watched it, there are no other movies I am currently excited for that I haven’t seen🤔",0.25,positif
286379932,2022-03-26 03:32:07+00:00,en,"Finally saw ""Turning Red."" It was definitely enjoyable, but not mind-blowing? 😅 I think I just need to ignore all social media posts about movies because movies keep getting over-hyped for me LOL.",0.2666666666666667,positif
2898282947,2022-03-26 03:31:56+00:00,en,no but why was turning red that good?,0.35,positif
1344841284171804682,2022-03-26 03:31:44+00:00,en,I got: Robaire https://t.co/0Wg6yqQLzh,0.0,netral
